"id","accession number","title","who","image","when","date","numTags"
15168,"2006.235.224","Portrait of a Girl","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6703.jpg",,,1
15169,"2006.235.170","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6680.jpg",,,1
15174,"2006.235.176","Portrait of a Gentleman","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6686.jpg","A.D. 1800-1900",,1
15175,"2006.235.236","Portrait of a Gentleman","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6706.jpg","A.D. 1800-1900",,1
15177,"2006.235.295","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6904.jpg","A.D. 1800-1900",,1
15178,"2006.235.296","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6905.jpg","A.D. 1800-1900",,1
15179,"2006.235.173","Portrait of a Lady","Moses . Russell","http://images.metmuseum.org/CRDImages/ap/original/APS6683.jpg","A.D. 1800-1900",,1
15185,"2006.235.183","Portrait of a Lady","William Harrison Scarborough","http://images.metmuseum.org/CRDImages/ap/original/APS6694.jpg","A.D. 1800-1900","ca. 1840",1
15196,"2006.235.196","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/DP217067.jpg","A.D. 1800-1900","ca. 1835",1
15201,"2006.235.202","Portrait of a Lady","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/APS6725.jpg","A.D. 1800-1900","ca. 1843",1
15205,"2006.235.204","Portrait of a Lady","William John Thomson","http://images.metmuseum.org/CRDImages/ap/original/APS6727.jpg","A.D. 1800-1900","1822",1
15213,"2006.235.210","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6734.jpg","1000 B.C.-A.D. 1",,1
15215,"2006.235.248","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6770.jpg","1000 B.C.-A.D. 1",,1
15223,"2006.235.264","Portrait of a Gentleman","William Verstille","http://images.metmuseum.org/CRDImages/ap/original/APS6577.jpg",,"ca. 1795",1
15234,"2006.235.290","Portrait of a Gentleman","Carl Weinedel","http://images.metmuseum.org/CRDImages/ap/original/APS6899.jpg","A.D. 1800-1900","1837",1
15237,"2006.235.94","Portrait of a Gentleman","James Whitehorne","http://images.metmuseum.org/CRDImages/ap/original/APS6879.jpg","A.D. 1800-1900","ca. 1835",1
15238,"2006.235.276","Portrait of a Gentleman","Henry Williams","http://images.metmuseum.org/CRDImages/ap/original/APS6802.jpg","A.D. 1800-1900","1824",1
15239,"2006.235.275","Portrait of a Lady","Henry Williams","http://images.metmuseum.org/CRDImages/ap/original/APS6801.jpg","A.D. 1800-1900","1826",1
15240,"2006.235.278","Portrait of a Gentleman","Joseph Wood","http://images.metmuseum.org/CRDImages/ap/original/APS6803.jpg","A.D. 1800-1900","1812",1
15247,"2006.235.235","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6757.jpg","A.D. 1800-1900","1800–1805",1
15250,"2006.235.249","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6772.jpg","A.D. 1800-1900","ca. 1810",1
15254,"2006.235.305","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6914.jpg","1000 B.C.-A.D. 1",,1
15257,"2006.235.220","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6744.jpg","A.D. 1800-1900","1825–30",1
15261,"2006.235.242","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6763.jpg","1000 B.C.-A.D. 1",,1
15265,"2006.235.217","Portrait of a Child",,"http://images.metmuseum.org/CRDImages/ap/original/APS6741.jpg","A.D. 1800-1900","ca. 1835",1
15266,"2006.235.190","Portrait of a Baby",,"http://images.metmuseum.org/CRDImages/ap/original/APS6712.jpg","A.D. 1800-1900","1840–50",1
