"id","accession number","title","who","image"
16144,"36.124gg verso","Portrait of Willard Parker, 1871 (from Sketchbook)","Daniel Huntington","http://images.metmuseum.org/CRDImages/ap/original/264364.jpg"
16165,"1998.326.13","Self-Portrait","Virginia Hendrickson Irvin","http://images.metmuseum.org/CRDImages/ap/original/DP105492.jpg"
16211,"33.176.4","Bust and Full Length Figure (from Sketchbook)","Asher Brown Durand","http://images.metmuseum.org/CRDImages/ap/original/263739.jpg"
16355,"53.182.19 verso","Charles I, after Van Dyke Dismounted Equestrian Portrait; Colonel George Kitts Coussmaker, after Reynolds (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266730.jpg"
16376,"53.182.27 verso","Study of Clouds; Two Female Nudes (after Michelangelo?); Two Half-length Female Portraits; Equestrian Figure with Two Men (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266438.jpg"
16415,"1998.476","Samuel F. B. Morse","Byron M. Pickett","http://images.metmuseum.org/CRDImages/ap/original/268845.jpg"
16453,"53.182.33 recto","Portrait of Girl in Flower Bower, Walking Draped Female Figure, Angel, Dead Mother and Child, Three Draped Figures (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266448.jpg"
16483,"53.182.47 verso","Portrait of [Poussin?]; Landscape Composition; Two Women; Woman and Child; Baby (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266476.jpg"
16502,"53.182.72 verso","Portrait of Seated Man; Bust of Contemplative Dante; Child Leaning on a Woman's Lap (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266530.jpg"
16507,"53.182.75 recto","Half-length Portrait of a Woman Seated Before a Window (after Lawrence?) (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266535.jpg"
16511,"53.182.81 verso","Portrait of Man (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266551.jpg"
16533,"1979.581.24","Bust Portrait of George Washington (from Sketchbook)","John William Casilear","http://images.metmuseum.org/CRDImages/ap/original/263698.jpg"
16594,"2008.249.2","Ebenezer Storer II","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DP227602.jpg"
16691,"1985.351.2 verso","Study for a Bust Portrait of a Young Man (from Sketchbook)","John Quincy Adams Ward","http://images.metmuseum.org/CRDImages/ap/original/266082.jpg"
16731,"54.181 verso","Portrait of a Man","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/ap54.181 verso.jpg"
16858,"2000.484","Portrait of a Boy","Miss Leland","http://images.metmuseum.org/CRDImages/ap/original/DP161491.jpg"
16859,"2000.452.1","Self-portrait","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/DP105587.jpg"
16860,"2000.452.2","Portrait of a Lady","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/DP105588.jpg"
16861,"2000.452.3","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/DP105589.jpg"
16885,"26.216.68 verso","Sketches: Cows; Two Female Portraits, One Crossed Out (from McGuire Scrapbook)","Emanuel Leutze","http://images.metmuseum.org/CRDImages/ap/original/267798.jpg"
16907,"2001.95","Portrait of a Gentleman and His Daughter","Francois M. Guyol de Guiran","http://images.metmuseum.org/CRDImages/ap/original/DP162123.jpg"
17075,"2001.693","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/ap2001.693.jpg"
17578,"2003.484 recto","Portrait of a Woman","Clara D. Davidson","http://images.metmuseum.org/CRDImages/ap/original/SFTR4082003r.jpg"
17660,"2003.520","Portrait of a Lady",["Henry Inman","Thomas Seir Cummings"],"http://images.metmuseum.org/CRDImages/ap/original/DT11701.jpg"
17783,"2004.109","Portrait of a Gentleman","Philippe Abraham Peticolas","http://images.metmuseum.org/CRDImages/ap/original/DP169108.jpg"
18588,"2004.285","Portrait of a Gentleman",["Henry Williams","William M. S. Doyle"],"http://images.metmuseum.org/CRDImages/ap/original/DP110801.jpg"
185921,"79.2.746","Plate",,"http://images.metmuseum.org/CRDImages/es/original/28580.jpg"
185937,"80.11.4","Head of a woman",,"http://images.metmuseum.org/CRDImages/es/original/68537.jpg"
186697,"84.8.1","Alexander I of Russia","Lorenzo Bartolini","http://images.metmuseum.org/CRDImages/es/original/32154.jpg"
186774,"85.2.83","Commemorating the Coronation Festivals. 1804.","Nicholas Guy Antoine Brenet","http://images.metmuseum.org/CRDImages/es/original/30731.jpg"
186836,"86.7.2a, b","Vase with cover (Vase des âges) (one of a pair)",["Sèvres Manufactory","Jean Michel Moreau the Younger","Charles-Nicholas Dodin","Henry-Martin Prévost"],"http://images.metmuseum.org/CRDImages/es/original/DP149970.jpg"
187165,"89.2.13","Tobacco box","Johann Heinrich Giese","http://images.metmuseum.org/CRDImages/es/original/ES80.jpg"
187211,"89.2.120","The Dagmar Cross (replica)",,"http://images.metmuseum.org/CRDImages/es/original/SF89_2_120_img1.jpg"
